timestamp,config_id,hidden,output_replicas,epoch,seconds,train_per_class,validation_per_class,batchsize,free_relaxation,nudged_relaxation,free_sweeps,nudged_sweeps,minit,target_scale,beta,lr,stepsize,weight_scale,bias_scale,temp,weight_decay,train_accuracy,train_mse,validation_accuracy,validation_mse,best_epoch,best_validation_accuracy,best_validation_mse,initial_graph_path,best_graph_path,final_graph_path
2026-05-20T02:44:37,1,120,4,0,0.0,50,20,64,32000,16000,200.0,100.0,1,0.2,0.05,0.0005,0.05,0.005,0.02,0.001,0.0001,0.095,19.04407,0.075,18.758331,0,0.075,18.758331298828125,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_1\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_1\best_graph.jld2,
2026-05-20T02:44:48,1,120,4,1,3.27074,50,20,64,32000,16000,200.0,100.0,1,0.2,0.05,0.0005,0.05,0.005,0.02,0.001,0.0001,0.085,16.772093,0.125,16.70428,1,0.125,16.704280853271484,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_1\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_1\best_graph.jld2,
2026-05-20T02:44:57,1,120,4,2,1.3104676,50,20,64,32000,16000,200.0,100.0,1,0.2,0.05,0.0005,0.05,0.005,0.02,0.001,0.0001,0.075,17.11777,0.07,17.082321,1,0.125,16.704280853271484,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_1\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_1\best_graph.jld2,
2026-05-20T02:45:06,1,120,4,3,1.2730898,50,20,64,32000,16000,200.0,100.0,1,0.2,0.05,0.0005,0.05,0.005,0.02,0.001,0.0001,0.08,17.129915,0.1,16.883326,1,0.125,16.704280853271484,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_1\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_1\best_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_1\final_graph.jld2
2026-05-20T02:45:23,2,120,4,0,0.0,50,20,64,32000,16000,200.0,100.0,1,0.5,0.05,0.0005,0.05,0.005,0.02,0.001,0.0001,0.125,26.03072,0.085,26.119627,0,0.085,26.119626998901367,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_2\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_2\best_graph.jld2,
2026-05-20T02:45:32,2,120,4,1,1.3861244,50,20,64,32000,16000,200.0,100.0,1,0.5,0.05,0.0005,0.05,0.005,0.02,0.001,0.0001,0.1,15.018366,0.095,15.073292,1,0.095,15.073291778564453,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_2\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_2\best_graph.jld2,
2026-05-20T02:45:41,2,120,4,2,1.2754714,50,20,64,32000,16000,200.0,100.0,1,0.5,0.05,0.0005,0.05,0.005,0.02,0.001,0.0001,0.11,16.203197,0.08,16.160507,1,0.095,15.073291778564453,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_2\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_2\best_graph.jld2,
2026-05-20T02:45:50,2,120,4,3,1.2980017,50,20,64,32000,16000,200.0,100.0,1,0.5,0.05,0.0005,0.05,0.005,0.02,0.001,0.0001,0.08,16.183563,0.11,15.885428,3,0.11,15.885428428649902,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_2\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_2\best_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_2\final_graph.jld2
2026-05-20T02:46:08,3,120,4,0,0.0,50,20,64,32000,16000,200.0,100.0,1,0.2,0.05,0.001,0.05,0.005,0.02,0.001,0.0001,0.045,19.031183,0.095,18.52732,0,0.095,18.527320861816406,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_3\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_3\best_graph.jld2,
2026-05-20T02:46:17,3,120,4,1,1.4695227,50,20,64,32000,16000,200.0,100.0,1,0.2,0.05,0.001,0.05,0.005,0.02,0.001,0.0001,0.085,19.271397,0.085,19.361315,0,0.095,18.527320861816406,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_3\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_3\best_graph.jld2,
2026-05-20T02:46:26,3,120,4,2,1.2888176,50,20,64,32000,16000,200.0,100.0,1,0.2,0.05,0.001,0.05,0.005,0.02,0.001,0.0001,0.09,20.474463,0.09,20.587202,0,0.095,18.527320861816406,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_3\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_3\best_graph.jld2,
2026-05-20T02:46:34,3,120,4,3,1.2885298,50,20,64,32000,16000,200.0,100.0,1,0.2,0.05,0.001,0.05,0.005,0.02,0.001,0.0001,0.075,21.344788,0.1,21.047676,3,0.1,21.04767608642578,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_3\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_3\best_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_3\final_graph.jld2
2026-05-20T02:46:52,4,120,4,0,0.0,50,20,64,32000,16000,200.0,100.0,1,0.5,0.05,0.001,0.05,0.005,0.02,0.001,0.0001,0.085,27.543562,0.13,26.772118,0,0.13,26.772117614746094,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_4\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_4\best_graph.jld2,
2026-05-20T02:47:01,4,120,4,1,1.3746576,50,20,64,32000,16000,200.0,100.0,1,0.5,0.05,0.001,0.05,0.005,0.02,0.001,0.0001,0.09,16.42808,0.12,16.39564,0,0.13,26.772117614746094,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_4\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_4\best_graph.jld2,
2026-05-20T02:47:10,4,120,4,2,1.296995,50,20,64,32000,16000,200.0,100.0,1,0.5,0.05,0.001,0.05,0.005,0.02,0.001,0.0001,0.095,17.213354,0.09,17.152128,0,0.13,26.772117614746094,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_4\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_4\best_graph.jld2,
2026-05-20T02:47:19,4,120,4,3,1.307208,50,20,64,32000,16000,200.0,100.0,1,0.5,0.05,0.001,0.05,0.005,0.02,0.001,0.0001,0.125,17.607113,0.09,17.791817,0,0.13,26.772117614746094,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_4\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_4\best_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_4\final_graph.jld2
2026-05-20T02:47:37,5,120,4,0,0.0,50,20,64,32000,16000,200.0,100.0,1,0.2,0.1,0.0005,0.05,0.005,0.02,0.001,0.0001,0.095,18.644802,0.105,19.06086,0,0.105,19.06085968017578,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_5\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_5\best_graph.jld2,
2026-05-20T02:47:46,5,120,4,1,1.8672308,50,20,64,32000,16000,200.0,100.0,1,0.2,0.1,0.0005,0.05,0.005,0.02,0.001,0.0001,0.11,15.104297,0.115,15.261631,1,0.115,15.26163101196289,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_5\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_5\best_graph.jld2,
2026-05-20T02:47:55,5,120,4,2,1.2705282,50,20,64,32000,16000,200.0,100.0,1,0.2,0.1,0.0005,0.05,0.005,0.02,0.001,0.0001,0.115,14.199823,0.075,14.424899,1,0.115,15.26163101196289,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_5\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_5\best_graph.jld2,
2026-05-20T02:48:04,5,120,4,3,1.2710555,50,20,64,32000,16000,200.0,100.0,1,0.2,0.1,0.0005,0.05,0.005,0.02,0.001,0.0001,0.105,14.3992,0.1,14.265719,1,0.115,15.26163101196289,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_5\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_5\best_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_5\final_graph.jld2
2026-05-20T02:48:21,6,120,4,0,0.0,50,20,64,32000,16000,200.0,100.0,1,0.5,0.1,0.0005,0.05,0.005,0.02,0.001,0.0001,0.065,27.925776,0.075,27.828413,0,0.075,27.828413009643555,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_6\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_6\best_graph.jld2,
2026-05-20T02:48:30,6,120,4,1,1.3618496,50,20,64,32000,16000,200.0,100.0,1,0.5,0.1,0.0005,0.05,0.005,0.02,0.001,0.0001,0.085,14.245615,0.08,14.391393,1,0.08,14.391392707824707,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_6\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_6\best_graph.jld2,
2026-05-20T02:48:39,6,120,4,2,1.2933271,50,20,64,32000,16000,200.0,100.0,1,0.5,0.1,0.0005,0.05,0.005,0.02,0.001,0.0001,0.1,14.771542,0.06,14.910664,1,0.08,14.391392707824707,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_6\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_6\best_graph.jld2,
2026-05-20T02:48:48,6,120,4,3,1.2885569,50,20,64,32000,16000,200.0,100.0,1,0.5,0.1,0.0005,0.05,0.005,0.02,0.001,0.0001,0.085,14.294729,0.135,14.131571,3,0.135,14.131570816040039,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_6\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_6\best_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_6\final_graph.jld2
2026-05-20T02:49:05,7,120,4,0,0.0,50,20,64,32000,16000,200.0,100.0,1,0.2,0.1,0.001,0.05,0.005,0.02,0.001,0.0001,0.105,19.035185,0.105,19.560793,0,0.105,19.560792922973633,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_7\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_7\best_graph.jld2,
2026-05-20T02:49:14,7,120,4,1,1.3633648,50,20,64,32000,16000,200.0,100.0,1,0.2,0.1,0.001,0.05,0.005,0.02,0.001,0.0001,0.12,17.361174,0.11,16.914913,1,0.11,16.914913177490234,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_7\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_7\best_graph.jld2,
2026-05-20T02:49:23,7,120,4,2,1.2812719,50,20,64,32000,16000,200.0,100.0,1,0.2,0.1,0.001,0.05,0.005,0.02,0.001,0.0001,0.125,16.969952,0.08,17.06875,1,0.11,16.914913177490234,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_7\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_7\best_graph.jld2,
2026-05-20T02:49:32,7,120,4,3,1.3022274,50,20,64,32000,16000,200.0,100.0,1,0.2,0.1,0.001,0.05,0.005,0.02,0.001,0.0001,0.15,16.646723,0.115,17.00343,3,0.115,17.003429412841797,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_7\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_7\best_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_7\final_graph.jld2
2026-05-20T02:49:49,8,120,4,0,0.0,50,20,64,32000,16000,200.0,100.0,1,0.5,0.1,0.001,0.05,0.005,0.02,0.001,0.0001,0.115,27.683279,0.115,27.924997,0,0.115,27.924997329711914,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_8\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_8\best_graph.jld2,
2026-05-20T02:49:58,8,120,4,1,1.3847973,50,20,64,32000,16000,200.0,100.0,1,0.5,0.1,0.001,0.05,0.005,0.02,0.001,0.0001,0.13,15.753292,0.125,15.648058,1,0.125,15.64805793762207,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_8\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_8\best_graph.jld2,
2026-05-20T02:50:07,8,120,4,2,1.3005083,50,20,64,32000,16000,200.0,100.0,1,0.5,0.1,0.001,0.05,0.005,0.02,0.001,0.0001,0.095,15.499558,0.095,15.669136,1,0.125,15.64805793762207,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_8\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_8\best_graph.jld2,
2026-05-20T02:50:16,8,120,4,3,1.2740618,50,20,64,32000,16000,200.0,100.0,1,0.5,0.1,0.001,0.05,0.005,0.02,0.001,0.0001,0.095,16.028122,0.125,15.897922,1,0.125,15.64805793762207,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_8\initial_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_8\best_graph.jld2,ext/IsingLearning/experiments/mnist_manager/runs/20260520_balanced_grid_500_200\checkpoints\config_8\final_graph.jld2
