config,step,q,residual_rms,residual_max,dH_rms,meanabs,frac_09,step_delta,energy,readout_abs,stepsize,temperature,stepsize_start,stepsize_stop,stepsize_duration,temp_duration
eta=0.02_T=floor,0,0.675169293678,0.48173316906,1,0.517553501781,0,0,0,-0.0806554741009,0,0.02,0.0001,0.02,0.02,0,0
eta=0.02_T=floor,500,0.88959323912,0.124603743468,0.343870658584,0.849835581509,0.829269816296,0.6625,0.868191007684,-9.83151841757,0.232292537455,0.02,0.0001,0.02,0.02,0,0
eta=0.02_T=floor,1000,0.955706234449,0.0465732621859,0.180569157921,0.898821740207,0.936382230937,0.875,0.272255798465,-10.5836173858,0.473021677328,0.02,0.0001,0.02,0.02,0,0
eta=0.02_T=floor,1500,0.98285459494,0.017454223713,0.0490347470063,0.916609625562,0.965773777543,0.9375,0.112555196415,-10.6847621043,0.49896469857,0.02,0.0001,0.02,0.02,0,0
eta=0.02_T=floor,2000,0.986757788222,0.0134289853788,0.0351872087453,0.918844751891,0.969804447155,0.9625,0.0423086276911,-10.7082431341,0.498154803416,0.02,0.0001,0.02,0.02,0,0
eta=0.02_T=floor,2500,0.987400073083,0.0127657799507,0.0310705484886,0.919831182797,0.96948409373,0.975,0.0305458368167,-10.7172480144,0.501135374423,0.02,0.0001,0.02,0.02,0,0
eta=0.02_T=floor,3000,0.987996414273,0.0121552799952,0.0297143278468,0.921408835316,0.969225471938,0.975,0.0183096164812,-10.7129508797,0.498116799758,0.02,0.0001,0.02,0.02,0,0
eta=0.02_T=floor,3500,0.988615995637,0.0115173966952,0.0306079562718,0.924435517013,0.971050359721,0.975,0.0193027883828,-10.736647931,0.499000416045,0.02,0.0001,0.02,0.02,0,0
eta=0.02_T=floor,4000,0.987140077451,0.0130279866068,0.0357669667507,0.924205900589,0.972293628633,0.975,0.0175183508901,-10.7040767527,0.499888598058,0.02,0.0001,0.02,0.02,0,0
eta=0.02_T=floor,4500,0.987504438928,0.012655912259,0.0318397756489,0.926990161701,0.976217152326,0.975,0.0195015982893,-10.715852142,0.496565938664,0.02,0.0001,0.02,0.02,0,0
eta=0.02_T=floor,5000,0.988417189242,0.0117205654446,0.0309496810326,0.928841043656,0.978921187042,0.975,0.017491244998,-10.7386834081,0.497868303586,0.02,0.0001,0.02,0.02,0,0
eta=0.02_T@1000,0,0.675169293678,0.48173316906,1,0.517553501781,0,0,0,-0.0806554741009,0,0.02,0.841850380522,0.02,0.02,0,1000
eta=0.02_T@1000,500,0.775986464744,0.289008313614,0.682210227603,0.737563947933,0.643799503979,0.2125,0.707349402012,-6.57618997517,0.390686810441,0.02,0.21053759513,0.02,0.02,0,1000
eta=0.02_T@1000,1000,0.954680000861,0.0482100570186,0.162536771215,0.888918408112,0.916613382019,0.8625,0.516773373454,-10.1412277401,0.497373091083,0.02,0.0001,0.02,0.02,0,1000
eta=0.02_T@1000,1500,0.96421989971,0.0376277947833,0.138603188557,0.905651098932,0.939059298121,0.9,0.144379061968,-10.3218119785,0.499451477978,0.02,0.0001,0.02,0.02,0,1000
eta=0.02_T@1000,2000,0.979516063456,0.020976404508,0.0682457559638,0.906107765124,0.946641066604,0.925,0.0811732988432,-10.3684362685,0.496730860498,0.02,0.0001,0.02,0.02,0,1000
eta=0.02_T@1000,2500,0.979455691906,0.0210484482277,0.0667598209097,0.901585034692,0.947519630798,0.925,0.0654150927305,-10.3936173192,0.495094927545,0.02,0.0001,0.02,0.02,0,1000
eta=0.02_T@1000,3000,0.981529886394,0.0188696343294,0.0653481127746,0.900936533278,0.962089669309,0.9375,0.0554507751628,-10.4340512906,0.495717089372,0.02,0.0001,0.02,0.02,0,1000
eta=0.02_T@1000,3500,0.981718393987,0.0186603317626,0.0631273138221,0.901305005763,0.976060166419,0.9375,0.0570822243591,-10.4584329383,0.495068012345,0.02,0.0001,0.02,0.02,0,1000
eta=0.02_T@1000,4000,0.986421457294,0.0137670474382,0.0353903453737,0.900411971401,0.982899181528,0.975,0.0311842324077,-10.4263981918,0.494066041663,0.02,0.0001,0.02,0.02,0,1000
eta=0.02_T@1000,4500,0.989797548291,0.0103084105185,0.0277409414494,0.902159348512,0.988671044358,0.9875,0.0219474042543,-10.4795508553,0.498581369507,0.02,0.0001,0.02,0.02,0,1000
eta=0.02_T@1000,5000,0.988740842613,0.0113883107835,0.0277958408156,0.900583931579,0.987650739046,0.9875,0.010190755123,-10.4460724289,0.49430475326,0.02,0.0001,0.02,0.02,0,1000
eta=0.02_T@2500,0,0.675169293678,0.48173316906,1,0.517553501781,0,0,0,-0.0806554741009,0,0.02,0.841850380522,0.02,0.02,0,2500
eta=0.02_T@2500,500,0.727101753648,0.377036525322,0.845982869734,0.6268908247,0.484864730972,0.0625,0.563840275795,-3.62498006509,0.406059989768,0.02,0.538820243534,0.02,0.02,0,2500
eta=0.02_T@2500,1000,0.768077004005,0.30375517619,0.704053317738,0.673231205787,0.591609621403,0.15,0.629020069514,-5.62444813765,0.496646123775,0.02,0.303130136988,0.02,0.02,0,2500
eta=0.02_T@2500,1500,0.792332394916,0.262932432367,0.610151634852,0.754968267034,0.678963005921,0.2125,0.568373464701,-6.96831861703,0.347916303596,0.02,0.134780060884,0.02,0.02,0,2500
eta=0.02_T@2500,2000,0.908386517329,0.101438630123,0.283021184196,0.84965481504,0.850378619782,0.725,0.458146978933,-9.49115046275,0.452274983556,0.02,0.0337700152209,0.02,0.02,0,2500
eta=0.02_T@2500,2500,0.976563871145,0.0243134645854,0.0823480948755,0.89539371307,0.942763283176,0.9125,0.215589269651,-10.3205990422,0.496887872016,0.02,0.0001,0.02,0.02,0,2500
eta=0.02_T@2500,3000,0.985859073918,0.0143630801323,0.0449718098938,0.898102135208,0.956812029811,0.9375,0.043686397598,-10.389083132,0.496689051773,0.02,0.0001,0.02,0.02,0,2500
eta=0.02_T@2500,3500,0.988802504173,0.0113334459337,0.0259937604393,0.895743550413,0.958866656359,0.95,0.0222868906356,-10.38611378,0.49410253862,0.02,0.0001,0.02,0.02,0,2500
eta=0.02_T@2500,4000,0.987531831052,0.012627107443,0.0314911398155,0.894166459238,0.961187262883,0.9625,0.0168528280626,-10.3687107865,0.495395774395,0.02,0.0001,0.02,0.02,0,2500
eta=0.02_T@2500,4500,0.988831051658,0.0112981244152,0.0296125744426,0.894420665897,0.964716114555,0.9625,0.0161819550228,-10.3918932245,0.497838046142,0.02,0.0001,0.02,0.02,0,2500
eta=0.02_T@2500,5000,0.988723021193,0.011406082165,0.0259753991402,0.892735738158,0.967341172192,0.9625,0.0214123306318,-10.3891387552,0.496014244949,0.02,0.0001,0.02,0.02,0,2500
eta=0.05_T=floor,0,0.675169293678,0.48173316906,1,0.517553501781,0,0,0,-0.0806554741009,0,0.05,0.0001,0.05,0.05,0,0
eta=0.05_T=floor,500,0.95740911672,0.0447097079467,0.141185050671,0.891773691227,0.928181822131,0.875,0.939572981863,-10.364084799,0.497695390052,0.05,0.0001,0.05,0.05,0,0
eta=0.05_T=floor,1000,0.973478955894,0.0272530912931,0.068258885801,0.909552428863,0.956071482362,0.95,0.135115530522,-10.4569486726,0.499151080577,0.05,0.0001,0.05,0.05,0,0
eta=0.05_T=floor,1500,0.971433700034,0.0294244558573,0.0731506756373,0.910798081816,0.950047516698,0.9625,0.0466827820846,-10.4156680826,0.494590665573,0.05,0.0001,0.05,0.05,0,0
eta=0.05_T=floor,2000,0.973994604438,0.0267310653305,0.0634700076427,0.917102810526,0.957497665265,0.9625,0.0494703356168,-10.4792400211,0.495041048085,0.05,0.0001,0.05,0.05,0,0
eta=0.05_T=floor,2500,0.973312549493,0.0274558196499,0.0634038770688,0.91960472649,0.965166307902,0.9625,0.0431826900126,-10.4649631676,0.500260953182,0.05,0.0001,0.05,0.05,0,0
eta=0.05_T=floor,3000,0.972696620179,0.0280742716778,0.067728968028,0.923205506279,0.970754166906,0.9625,0.0369776077918,-10.4501511228,0.500481271001,0.05,0.0001,0.05,0.05,0,0
eta=0.05_T=floor,3500,0.975322748034,0.0253129233885,0.0708964371989,0.928783740852,0.978727856458,0.975,0.0279045346537,-10.5265709969,0.498998953717,0.05,0.0001,0.05,0.05,0,0
eta=0.05_T=floor,4000,0.971076080545,0.0297889691851,0.0791522967478,0.924708202514,0.973925445049,0.9875,0.0250724405804,-10.4181085193,0.498867918541,0.05,0.0001,0.05,0.05,0,0
eta=0.05_T=floor,4500,0.971395624254,0.0294596176888,0.0782077165387,0.926364623309,0.975346100415,0.9875,0.0190036250257,-10.4359504801,0.489883138568,0.05,0.0001,0.05,0.05,0,0
eta=0.05_T=floor,5000,0.976078966568,0.0245089218991,0.0531991278671,0.927462464949,0.977519193977,0.9875,0.0217304628911,-10.5061580976,0.495068751638,0.05,0.0001,0.05,0.05,0,0
eta=0.05_T@1000,0,0.675169293678,0.48173316906,1,0.517553501781,0,0,0,-0.0806554741009,0,0.05,0.841850380522,0.05,0.05,0,1000
eta=0.05_T@1000,500,0.781832757571,0.279260126814,0.625442892593,0.710913388125,0.631157578805,0.1875,0.691775130609,-6.32627386634,0.429557221286,0.05,0.21053759513,0.05,0.05,0,1000
eta=0.05_T@1000,1000,0.957654237192,0.0446300724034,0.137445948741,0.900762988967,0.933278891741,0.875,0.636056917608,-10.1912488761,0.734348634144,0.05,0.0001,0.05,0.05,0,1000
eta=0.05_T@1000,1500,0.972217815207,0.0285794672689,0.068199822326,0.9068838392,0.948721010622,0.9375,0.154174019128,-10.3090984518,0.739776586048,0.05,0.0001,0.05,0.05,0,1000
eta=0.05_T@1000,2000,0.973729004759,0.0270451751845,0.0656063090875,0.905806345202,0.965260964473,0.9625,0.0934084264629,-10.3050041706,0.736482630495,0.05,0.0001,0.05,0.05,0,1000
eta=0.05_T@1000,2500,0.9732891488,0.0274523099034,0.0687624036667,0.904377212368,0.972603687483,0.975,0.0390399623101,-10.3230757255,0.733317416527,0.05,0.0001,0.05,0.05,0,1000
eta=0.05_T@1000,3000,0.972710353796,0.0280570428048,0.0703317762962,0.90226062781,0.9754628272,0.9875,0.0313637050038,-10.2891371144,0.735430682641,0.05,0.0001,0.05,0.05,0,1000
eta=0.05_T@1000,3500,0.974781112059,0.0259017029183,0.06319807263,0.90336694673,0.977021235176,0.9875,0.0199643352844,-10.3261399296,0.728154315497,0.05,0.0001,0.05,0.05,0,1000
eta=0.05_T@1000,4000,0.970844141275,0.0300415121609,0.0740894725578,0.900936262154,0.974239127377,0.9875,0.0220849374698,-10.2536498168,0.733174104381,0.05,0.0001,0.05,0.05,0,1000
eta=0.05_T@1000,4500,0.973026692299,0.0277338421041,0.0766047493285,0.903926951315,0.977136246599,0.9875,0.0215767484777,-10.3132147131,0.736739817256,0.05,0.0001,0.05,0.05,0,1000
eta=0.05_T@1000,5000,0.973551581773,0.0271715804349,0.0579553123225,0.902877634326,0.975862374023,0.9875,0.0236080526479,-10.2970069037,0.73231991642,0.05,0.0001,0.05,0.05,0,1000
eta=0.05_T@2500,0,0.675169293678,0.48173316906,1,0.517553501781,0,0,0,-0.0806554741009,0,0.05,0.841850380522,0.05,0.05,0,2500
eta=0.05_T@2500,500,0.731000688171,0.368447573456,0.862077055711,0.620641475884,0.527433647956,0.1,0.594607307294,-3.44883890405,0.275496544354,0.05,0.538820243534,0.05,0.05,0,2500
eta=0.05_T@2500,1000,0.765745041575,0.308193097996,0.658179509313,0.680345501901,0.587933403849,0.175,0.754392690924,-5.30799021625,0.278262048875,0.05,0.303130136988,0.05,0.05,0,2500
eta=0.05_T@2500,1500,0.814122936489,0.231523620817,0.562346302323,0.780925344456,0.659758283033,0.25,0.67246019303,-7.25814808042,0.203498136913,0.05,0.134780060884,0.05,0.05,0,2500
eta=0.05_T@2500,2000,0.912976709618,0.0954051875221,0.244269103901,0.89234395498,0.866065820686,0.675,0.491842264794,-9.45370910981,0.0132174976806,0.05,0.0337700152209,0.05,0.05,0,2500
eta=0.05_T@2500,2500,0.969897605749,0.0310446540164,0.0739271957004,0.923354346073,0.944080156163,0.925,0.212799017784,-10.2543430497,0.0137677995181,0.05,0.0001,0.05,0.05,0,2500
eta=0.05_T@2500,3000,0.972335740141,0.0284661946439,0.0765589096133,0.922512658221,0.95189437252,0.95,0.0666538806062,-10.2915479235,0.0100026428838,0.05,0.0001,0.05,0.05,0,2500
eta=0.05_T@2500,3500,0.97563596814,0.0249999433163,0.0667658231928,0.923813659625,0.957673428089,0.95,0.0528181757942,-10.3592624551,0.00873082644111,0.05,0.0001,0.05,0.05,0,2500
eta=0.05_T@2500,4000,0.970542101518,0.0303665664917,0.0810764339361,0.919347523157,0.959535362467,0.9625,0.0463955423408,-10.2548627005,0.0131955273462,0.05,0.0001,0.05,0.05,0,2500
eta=0.05_T@2500,4500,0.972198846749,0.0286311392998,0.0818726655499,0.921983124413,0.96605768009,0.9625,0.0332284891918,-10.2781115694,0.00647004150546,0.05,0.0001,0.05,0.05,0,2500
eta=0.05_T@2500,5000,0.975804246334,0.0247993620819,0.0498450009059,0.922700196102,0.972026784049,0.975,0.0357761292472,-10.3452532128,0.00864470748395,0.05,0.0001,0.05,0.05,0,2500
eta=0.08_T=floor,0,0.675169293678,0.48173316906,1,0.517553501781,0,0,0,-0.0806554741009,0,0.08,0.0001,0.08,0.08,0,0
eta=0.08_T=floor,500,0.953525962571,0.0488424634962,0.131266147317,0.895200947006,0.940560934629,0.8875,0.946111233243,-10.2125401287,0.255990405277,0.08,0.0001,0.08,0.08,0,0
eta=0.08_T=floor,1000,0.957906444054,0.043988062489,0.126382946803,0.902585497611,0.942475960497,0.925,0.0911876195771,-10.2386821614,0.258682714855,0.08,0.0001,0.08,0.08,0,0
eta=0.08_T=floor,1500,0.958206904857,0.0436991840219,0.103404427347,0.907396732715,0.94458394842,0.925,0.0609992742683,-10.2454672011,0.254888987087,0.08,0.0001,0.08,0.08,0,0
eta=0.08_T=floor,2000,0.958943278726,0.0429267513844,0.102998972435,0.913170278064,0.9535686438,0.925,0.0592279287678,-10.2445116053,0.251917364966,0.08,0.0001,0.08,0.08,0,0
eta=0.08_T=floor,2500,0.957937781706,0.0439840538057,0.103064194095,0.915871834922,0.960805653888,0.9375,0.0510006547257,-10.2435218759,0.254646978348,0.08,0.0001,0.08,0.08,0,0
eta=0.08_T=floor,3000,0.953994148767,0.0482301586313,0.122715910117,0.915211361458,0.960818436544,0.95,0.0371627956153,-10.150129534,0.26165236807,0.08,0.0001,0.08,0.08,0,0
eta=0.08_T=floor,3500,0.959538471156,0.0422515210748,0.128427725694,0.920524493636,0.968067389365,0.9625,0.032116443581,-10.30328937,0.256880623257,0.08,0.0001,0.08,0.08,0,0
eta=0.08_T=floor,4000,0.958166781899,0.0436740541759,0.111022711251,0.918082572035,0.961522737649,0.9375,0.0409515064144,-10.2561228554,0.252798726267,0.08,0.0001,0.08,0.08,0,0
eta=0.08_T=floor,4500,0.957511738278,0.0444002919921,0.122718826806,0.91901528024,0.963888435232,0.9375,0.0303300843562,-10.2474325127,0.247578164602,0.08,0.0001,0.08,0.08,0,0
eta=0.08_T=floor,5000,0.962538797525,0.0389345088655,0.0918935169941,0.919043828247,0.965887419949,0.9625,0.0302224173839,-10.3081894714,0.250123990888,0.08,0.0001,0.08,0.08,0,0
eta=0.08_T@1000,0,0.675169293678,0.48173316906,1,0.517553501781,0,0,0,-0.0806554741009,0,0.08,0.841850380522,0.08,0.08,0,1000
eta=0.08_T@1000,500,0.783031849525,0.277831224375,0.691836654723,0.714747576362,0.612799937534,0.25,0.683670760475,-6.19066465809,0.55340183001,0.08,0.21053759513,0.08,0.08,0,1000
eta=0.08_T@1000,1000,0.960615364914,0.0410432523836,0.0969937814572,0.890468061115,0.927946796591,0.8875,0.646867646573,-9.7830972359,0.720645666945,0.08,0.0001,0.08,0.08,0,1000
eta=0.08_T@1000,1500,0.96042313013,0.0412161608618,0.0979749516891,0.893507276376,0.940825067573,0.9,0.11201260766,-9.77447922263,0.731598903904,0.08,0.0001,0.08,0.08,0,1000
eta=0.08_T@1000,2000,0.962646232901,0.0389649751534,0.103213939797,0.89158735197,0.959341871905,0.9375,0.085152944899,-9.78179315618,0.718516279555,0.08,0.0001,0.08,0.08,0,1000
eta=0.08_T@1000,2500,0.960286070636,0.0413956027782,0.105785926961,0.891385900665,0.960749226071,0.9625,0.0361547032191,-9.76145144707,0.722730932368,0.08,0.0001,0.08,0.08,0,1000
eta=0.08_T@1000,3000,0.956102429778,0.0459150752087,0.118170611777,0.887748822008,0.956851821189,0.9375,0.0315915418925,-9.65884075113,0.727285000257,0.08,0.0001,0.08,0.08,0,1000
eta=0.08_T@1000,3500,0.96039431549,0.0413219915911,0.115591944374,0.889740821861,0.960629003301,0.95,0.0305300560561,-9.74335961178,0.725448126353,0.08,0.0001,0.08,0.08,0,1000
eta=0.08_T@1000,4000,0.955925803024,0.0461292028668,0.118137977589,0.886851049016,0.956179372096,0.9375,0.0362027525108,-9.64945253051,0.71695286057,0.08,0.0001,0.08,0.08,0,1000
eta=0.08_T@1000,4500,0.95713045113,0.0448065809267,0.125891413622,0.890068493596,0.961165981692,0.925,0.0311371859271,-9.69421982203,0.728441803728,0.08,0.0001,0.08,0.08,0,1000
eta=0.08_T@1000,5000,0.960565484829,0.041066481805,0.0872569722352,0.88936969622,0.959463154777,0.9625,0.0352287663911,-9.74278026797,0.730627367284,0.08,0.0001,0.08,0.08,0,1000
eta=0.08_T@2500,0,0.675169293678,0.48173316906,1,0.517553501781,0,0,0,-0.0806554741009,0,0.08,0.841850380522,0.08,0.08,0,2500
eta=0.08_T@2500,500,0.728468146912,0.373001006215,0.866621691122,0.624383334598,0.520166794871,0.1,0.584024219311,-3.4910145803,0.317303756606,0.08,0.538820243534,0.08,0.08,0,2500
eta=0.08_T@2500,1000,0.761699960451,0.316398419942,0.749349509411,0.667389009411,0.593722571738,0.2,0.714828254917,-5.18699554444,0.330940051418,0.08,0.303130136988,0.08,0.08,0,2500
eta=0.08_T@2500,1500,0.800706696834,0.252538235897,0.54033637203,0.790077201887,0.661405362662,0.2125,0.687651335011,-7.38687326147,0.0635741099967,0.08,0.134780060884,0.08,0.08,0,2500
eta=0.08_T@2500,2000,0.90000869593,0.111125728818,0.302043238857,0.891535139914,0.87626675039,0.6,0.416125539206,-9.32177194449,0.0234007776847,0.08,0.0337700152209,0.08,0.08,0,2500
eta=0.08_T@2500,2500,0.956264195563,0.0457746892145,0.110391851673,0.912942689511,0.952154906635,0.9375,0.223033483638,-10.0920923257,0.0178902542466,0.08,0.0001,0.08,0.08,0,2500
eta=0.08_T@2500,3000,0.959261894213,0.0424842657124,0.106063023789,0.91621643768,0.958221684253,0.9625,0.0535303867802,-10.1632827487,0.0174769549578,0.08,0.0001,0.08,0.08,0,2500
eta=0.08_T@2500,3500,0.961927980905,0.0396579384367,0.105760146742,0.920200886335,0.963249118908,0.9625,0.0387999693904,-10.2108218706,0.0162465578584,0.08,0.0001,0.08,0.08,0,2500
eta=0.08_T@2500,4000,0.956883573169,0.045084494281,0.134030467214,0.917146061213,0.963192678589,0.9375,0.0465275500516,-10.1030108643,0.0110791460643,0.08,0.0001,0.08,0.08,0,2500
eta=0.08_T@2500,4500,0.958402344644,0.043473657974,0.123720391773,0.921993904974,0.968464219155,0.95,0.0364244534512,-10.1398908405,0.0110613957601,0.08,0.0001,0.08,0.08,0,2500
eta=0.08_T@2500,5000,0.962205154397,0.0393001784928,0.0882409572976,0.921174903469,0.970301007653,0.9875,0.0353969113228,-10.1916987839,0.011541017532,0.08,0.0001,0.08,0.08,0,2500
eta=0.12_T=floor,0,0.675169293678,0.48173316906,1,0.517553501781,0,0,0,-0.0806554741009,0,0.12,0.0001,0.12,0.12,0,0
eta=0.12_T=floor,500,0.93122101385,0.073921876332,0.205573033403,0.881576128377,0.931966698875,0.825,0.936819571537,-9.70376482388,0.267259730051,0.12,0.0001,0.12,0.12,0,0
eta=0.12_T=floor,1000,0.941819011712,0.0618611802374,0.176712513968,0.894395556092,0.930802859417,0.9,0.0755531285007,-9.97889998053,0.251400108137,0.12,0.0001,0.12,0.12,0,0
eta=0.12_T=floor,1500,0.941129075238,0.0626854847229,0.143264562055,0.898745100251,0.934181023176,0.825,0.0664428358164,-9.94400231001,0.269441940265,0.12,0.0001,0.12,0.12,0,0
eta=0.12_T=floor,2000,0.943200391189,0.0605586625687,0.124151004946,0.904049833577,0.940689757829,0.825,0.0595852573155,-9.94647991014,0.246658285862,0.12,0.0001,0.12,0.12,0,0
eta=0.12_T=floor,2500,0.938811431809,0.0653370674934,0.150439368884,0.902436503191,0.943778229385,0.8,0.0577536439476,-9.89371426426,0.251108566802,0.12,0.0001,0.12,0.12,0,0
eta=0.12_T=floor,3000,0.933674205487,0.0710524659901,0.178226591252,0.90113543045,0.942065360538,0.8,0.0504292705147,-9.77571235879,0.269717847349,0.12,0.0001,0.12,0.12,0,0
eta=0.12_T=floor,3500,0.941060494255,0.0628042506192,0.195069073015,0.909665647967,0.953587784349,0.875,0.0496715128951,-9.98243329134,0.257180164405,0.12,0.0001,0.12,0.12,0,0
eta=0.12_T=floor,4000,0.941795767893,0.0618425082928,0.159714818005,0.908902389668,0.945948116927,0.8625,0.063882743849,-9.99839019716,0.247346080228,0.12,0.0001,0.12,0.12,0,0
eta=0.12_T=floor,4500,0.940536483514,0.0632665358195,0.170318941796,0.908069657324,0.948248697588,0.9,0.0474544118068,-9.9178685727,0.243041542012,0.12,0.0001,0.12,0.12,0,0
eta=0.12_T=floor,5000,0.943763044065,0.0596910968894,0.152973060775,0.908017483045,0.948574079049,0.8875,0.0414525086035,-9.97621211638,0.250535487135,0.12,0.0001,0.12,0.12,0,0
eta=0.12_T@1000,0,0.675169293678,0.48173316906,1,0.517553501781,0,0,0,-0.0806554741009,0,0.12,0.841850380522,0.12,0.12,0,1000
eta=0.12_T@1000,500,0.76622287102,0.306104560771,0.802915826874,0.722003790116,0.590383380838,0.1625,0.659819629427,-5.91901569662,0.534094758308,0.12,0.21053759513,0.12,0.12,0,1000
eta=0.12_T@1000,1000,0.944701395945,0.0586253735881,0.146457527183,0.912527680596,0.948679992166,0.85,0.6402734573,-9.86876318046,0.476300406562,0.12,0.0001,0.12,0.12,0,1000
